BLK_CD,std_ym,BLK_NM,man_flow_p,man_flow_1,man_flow_2,man_flow_3,man_flow_4,man_flow_5,wman_flow_,wman_flo_1,wman_flo_2,wman_flo_3,wman_flo_4,wman_flo_5,OBJECTID,BLK_NM_1,X_AXIS,Y_AXIS,XMIN,YMIN,XMAX,YMAX,ADMI_CD,OA_CD,BAS_ID,SHAPE,SE_ANNO_CA,SHAPE_WKT,ADMI_CD_2,광역시,시군구,행정동,법정동,X,Y,관광지명,주소
32646,19900101,,,,,,,,,,,,,,2870,경기포천 한화리조트산정호수,339484,608021,338515,606106,340793,610152,41650390,3127040000000.00000,11103,oracle.sql.STRUCT@545098ba,(BLOB),"POLYGON ((339690.5625 610151.25, 339676.75 610115.9375, 339658.6875 610099.0625, 339434.4375 610114.625, 339332.25 610106.4375, 339250.4375 610080.9375, 339154.3125 610023.8125, 339095.1563 610009.6875, 339019.125 610016.6875, 338878.4375 610074.875, 338",4165,경기도,포천시,영북면,영북면 산정리,340717,607561,산정호수,경기 포천시 영북면 산정호수로411번길 89
32684,20170601,경기포천 허브밸리캠핑장,1250.48000,6926.76000,5075.98000,5220.49000,5872.32000,4581.96000,1493.44000,2446.20000,4208.88000,3681.37000,5341.20000,4108.32000,2874,경기포천 32684블록,337958,608253,336535,606369,339010,610139,41650390,3127040000000.00000,11104,oracle.sql.STRUCT@351410c1,(BLOB),"POLYGON ((337907.0313 610138.9375, 337901.375 610115.1875, 337889.7813 610102.4375, 337729.9688 610006.9375, 337688.125 609973.0625, 337499.5313 609727.8125, 337481.4063 609714.125, 337453.5625 609650.5625, 337434.375 609625.1875, 337286.7188 609501.9375",4165,경기도,포천시,영북면,영북면 산정리,340717,607561,산정호수,경기 포천시 영북면 산정호수로411번길 89
32684,20170801,경기포천 허브밸리캠핑장,1482.25000,7474.32000,5405.53000,5659.28000,6419.28000,5248.80000,1751.10000,2618.64000,4563.26000,4088.26000,5892.36000,4588.44000,2874,경기포천 32684블록,337958,608253,336535,606369,339010,610139,41650390,3127040000000.00000,11104,oracle.sql.STRUCT@351410c1,(BLOB),"POLYGON ((337907.0313 610138.9375, 337901.375 610115.1875, 337889.7813 610102.4375, 337729.9688 610006.9375, 337688.125 609973.0625, 337499.5313 609727.8125, 337481.4063 609714.125, 337453.5625 609650.5625, 337434.375 609625.1875, 337286.7188 609501.9375",4165,경기도,포천시,영북면,영북면 산정리,340717,607561,산정호수,경기 포천시 영북면 산정호수로411번길 89
32684,20170801,경기포천 허브밸리캠핑장,1482.25000,7474.32000,5405.53000,5659.28000,6419.28000,5248.80000,1751.10000,2618.64000,4563.26000,4088.26000,5892.36000,4588.44000,2874,경기포천 32684블록,337958,608253,336535,606369,339010,610139,41650390,3127040000000.00000,11104,oracle.sql.STRUCT@351410c1,(BLOB),"POLYGON ((337907.0313 610138.9375, 337901.375 610115.1875, 337889.7813 610102.4375, 337729.9688 610006.9375, 337688.125 609973.0625, 337499.5313 609727.8125, 337481.4063 609714.125, 337453.5625 609650.5625, 337434.375 609625.1875, 337286.7188 609501.9375",4165,경기도,포천시,영북면,영북면 산정리,340717,607561,산정호수,경기 포천시 영북면 산정호수로411번길 89
5049,20170701,경기포천 산정캠프,246.18000,1195.32000,1595.62000,2029.17000,2869.08000,1595.52000,261.30000,711.60000,1207.31000,1380.17000,1988.88000,1330.20000,3342,경기포천 평강식물원,340482,605285,337497,603128,343230,606929,41650390,3127040000000.00000,11103,oracle.sql.STRUCT@2f966aab,(BLOB),"POLYGON ((338787.1875 606372.5, 338768.5313 606369.5625, 338471.0938 606485.1875, 338344.7188 606503.625, 338137.8438 606617.625, 338082.125 606635.25, 338037.75 606625.625, 337890.4375 606563.6875, 337915.875 606479.8125, 337956.9063 606404.5, 337999.71",4165,경기도,포천시,영북면,영북면 산정리,340717,607561,산정호수,경기 포천시 영북면 산정호수로411번길 89
5049,20170701,경기포천 산정캠프,246.18000,1195.32000,1595.62000,2029.17000,2869.08000,1595.52000,261.30000,711.60000,1207.31000,1380.17000,1988.88000,1330.20000,3342,경기포천 평강식물원,340482,605285,337497,603128,343230,606929,41650390,3127040000000.00000,11103,oracle.sql.STRUCT@2f966aab,(BLOB),"POLYGON ((338787.1875 606372.5, 338768.5313 606369.5625, 338471.0938 606485.1875, 338344.7188 606503.625, 338137.8438 606617.625, 338082.125 606635.25, 338037.75 606625.625, 337890.4375 606563.6875, 337915.875 606479.8125, 337956.9063 606404.5, 337999.71",4165,경기도,포천시,영북면,영북면 산정리,340717,607561,산정호수,경기 포천시 영북면 산정호수로411번길 89
300355,19900101,,,,,,,,,,,,,,2717,경기포천 자인사,340860,609131,339690,607266,342071,611051,41650390,3127040000000.00000,11103,oracle.sql.STRUCT@15f38bd8,(BLOB),"POLYGON ((340284.875 611050.625, 340181.6875 611026.875, 340151.2188 611007.0, 340067.8125 610977.625, 339959.125 610908.9375, 339836.2188 610632.75, 339809.75 610419.1875, 339756.6563 610320.4375, 339690.5625 610151.25, 339898.0 609818.4375, 339913.2188",4165,경기도,포천시,영북면,영북면 산정리,340717,607561,산정호수,경기 포천시 영북면 산정호수로411번길 89
30107,20180801,경기포천 모아글램핑,328.13000,1932.24000,1971.19000,2262.70000,2768.28000,2861.76000,388.18000,558.72000,983.45000,1015.74000,1354.20000,1263.72000,3148,경기포천 30107블록,346948,607086,345957,606427,347677,607904,41650380,3127040000000.00000,11110,oracle.sql.STRUCT@71b026aa,(BLOB),"POLYGON ((345957.125 607086.4375, 346014.2813 606987.5, 346113.9688 606909.875, 346284.6875 606696.875, 346316.875 606672.4375, 346374.4688 606545.5, 346423.375 606637.0, 346536.2813 606757.25, 346570.9688 606815.125, 346633.6875 606786.875, 346699.9063",4165,경기도,포천시,이동면,이동면 도평리,347644,608332,백운계곡,경기 포천시 이동면 도평리
30107,20180601,경기포천 모아글램핑,225.61000,2112.12000,2056.86000,2515.59000,2773.68000,3137.76000,310.57000,443.04000,831.22000,934.12000,1320.24000,1440.12000,3148,경기포천 30107블록,346948,607086,345957,606427,347677,607904,41650380,3127040000000.00000,11110,oracle.sql.STRUCT@71b026aa,(BLOB),"POLYGON ((345957.125 607086.4375, 346014.2813 606987.5, 346113.9688 606909.875, 346284.6875 606696.875, 346316.875 606672.4375, 346374.4688 606545.5, 346423.375 606637.0, 346536.2813 606757.25, 346570.9688 606815.125, 346633.6875 606786.875, 346699.9063",4165,경기도,포천시,이동면,이동면 도평리,347644,608332,백운계곡,경기 포천시 이동면 도평리
5367,20170801,경기포천 등룡폭포,439.23000,1538.52000,2189.59000,2426.71000,3138.36000,1776.72000,433.94000,1075.08000,1906.97000,2232.78000,3011.04000,1686.12000,2956,경기포천 산정리조트눈썰매장,342278,607792,340475,605809,343594,609559,41650390,3127040000000.00000,11103,oracle.sql.STRUCT@20f60ad5,(BLOB),"POLYGON ((342058.6875 609459.125, 342029.9688 609303.125, 342017.1875 609132.8125, 341914.6563 608549.125, 341880.8125 608247.9375, 341839.3125 608074.8125, 341798.9688 607983.5, 341588.25 607708.25, 341536.6875 607590.75, 341442.0 607532.6875, 341363.93",4165,경기도,포천시,영북면,영북면 산정리,340717,607561,산정호수,경기 포천시 영북면 산정호수로411번길 89
5367,20170601,경기포천 등룡폭포,181.06000,1081.08000,1686.88000,1905.42000,2692.32000,1493.40000,146.25000,771.24000,1322.10000,1514.70000,2335.80000,1403.76000,2956,경기포천 산정리조트눈썰매장,342278,607792,340475,605809,343594,609559,41650390,3127040000000.00000,11103,oracle.sql.STRUCT@20f60ad5,(BLOB),"POLYGON ((342058.6875 609459.125, 342029.9688 609303.125, 342017.1875 609132.8125, 341914.6563 608549.125, 341880.8125 608247.9375, 341839.3125 608074.8125, 341798.9688 607983.5, 341588.25 607708.25, 341536.6875 607590.75, 341442.0 607532.6875, 341363.93",4165,경기도,포천시,영북면,영북면 산정리,340717,607561,산정호수,경기 포천시 영북면 산정호수로411번길 89
5367,20180601,경기포천 등룡폭포,906.51000,3422.40000,4508.53000,4681.27000,5383.44000,4983.96000,875.55000,1145.88000,3085.42000,2486.44000,3114.12000,3150.96000,2956,경기포천 산정리조트눈썰매장,342278,607792,340475,605809,343594,609559,41650390,3127040000000.00000,11103,oracle.sql.STRUCT@20f60ad5,(BLOB),"POLYGON ((342058.6875 609459.125, 342029.9688 609303.125, 342017.1875 609132.8125, 341914.6563 608549.125, 341880.8125 608247.9375, 341839.3125 608074.8125, 341798.9688 607983.5, 341588.25 607708.25, 341536.6875 607590.75, 341442.0 607532.6875, 341363.93",4165,경기도,포천시,영북면,영북면 산정리,340717,607561,산정호수,경기 포천시 영북면 산정호수로411번길 89
30109,19900101,,,,,,,,,,,,,,3238,경기포천 30109블록,345435,606802,344526,606213,346305,607431,41650380,3127040000000.00000,11110,oracle.sql.STRUCT@4e3d2b1d,(BLOB),"POLYGON ((344647.4375 607430.625, 344662.7813 607305.0625, 344620.5 607187.125, 344573.7188 607154.3125, 344570.5625 607057.9375, 344526.25 606855.75, 344530.75 606820.9375, 344683.6563 606731.0, 344941.4063 606604.125, 345146.9688 606490.4375, 345376.18",4165,경기도,포천시,이동면,이동면 도평리,347644,608332,백운계곡,경기 포천시 이동면 도평리
328219,20170701,경기포천 해찬여울수련원,542.63000,3283.80000,3141.32000,2855.16000,3695.88000,2338.32000,615.29000,1010.64000,1645.02000,2070.64000,2769.12000,2189.88000,2381,경기포천 328219블록,346862,610398,344958,607061,348778,612946,41650380,3127040000000.00000,11110,oracle.sql.STRUCT@505bdea6,(BLOB),"POLYGON ((345676.8125 612945.6875, 345646.5313 612938.75, 345575.4688 612882.5, 345462.1875 612743.3125, 345420.8438 612742.375, 345385.75 612725.5, 345304.375 612638.0, 345186.3125 612571.0, 345111.25 612479.0625, 345105.3125 612417.875, 345113.5313 612",4165,경기도,포천시,이동면,이동면 도평리,347644,608332,백운계곡,경기 포천시 이동면 도평리
297799,20170801,경기포천 흥룡사청암부도,2775.85000,7002.96000,11508.77000,10915.19000,11809.80000,7015.08000,2346.11000,5233.56000,9668.10000,10107.46000,12095.04000,7761.48000,2412,경기포천 백운계곡,349776,608958,347134,606402,351673,612642,41650380,3127040000000.00000,11110,oracle.sql.STRUCT@5f9d7c2f,(BLOB),"POLYGON ((348777.6875 611172.5625, 348777.6563 611031.3125, 348759.6563 610916.9375, 348742.5625 610869.4375, 348685.5 610768.5, 348665.2813 610623.6875, 348736.5625 610312.125, 348735.4375 610206.4375, 348722.375 610148.5625, 348663.8438 610001.3125, 34",4165,경기도,포천시,이동면,이동면 도평리,347644,608332,백운계곡,경기 포천시 이동면 도평리
297799,20180701,경기포천 흥룡사청암부도,2559.70000,15983.40000,15490.02000,15619.12000,17758.32000,15497.76000,3020.81000,3789.96000,7680.27000,7135.70000,9959.76000,8381.04000,2412,경기포천 백운계곡,349776,608958,347134,606402,351673,612642,41650380,3127040000000.00000,11110,oracle.sql.STRUCT@5f9d7c2f,(BLOB),"POLYGON ((348777.6875 611172.5625, 348777.6563 611031.3125, 348759.6563 610916.9375, 348742.5625 610869.4375, 348685.5 610768.5, 348665.2813 610623.6875, 348736.5625 610312.125, 348735.4375 610206.4375, 348722.375 610148.5625, 348663.8438 610001.3125, 34",4165,경기도,포천시,이동면,이동면 도평리,347644,608332,백운계곡,경기 포천시 이동면 도평리
30321,19900101,,,,,,,,,,,,,,2044,경기포천 30321블록,334752,617788,334443,617480,334985,618070,41650400,3127040000000.00000,11101,oracle.sql.STRUCT@2e41e119,(BLOB),"POLYGON ((334984.2813 618069.4375, 334905.9375 618034.0, 334870.0 618025.625, 334766.9063 618029.875, 334706.1563 618018.625, 334627.875 617942.6875, 334506.4688 617897.75, 334470.7813 617840.3125, 334443.5938 617817.6875, 334452.4375 617799.8125, 334506",4165,경기도,포천시,관인면,관인면 냉정리,337401,616438,한탄강,경기도 포천시 관인면 냉정리 3551
30330,19900101,,,,,,,,,,,,,,2252,경기포천 30330블록,336192,614512,335226,613724,336848,615186,41650400,3127040000000.00000,11101,oracle.sql.STRUCT@3d5aded7,(BLOB),"POLYGON ((335226.75 615077.1875, 335227.3438 615066.625, 335278.375 615001.0, 335335.75 614942.4375, 335421.25 614827.875, 335489.25 614762.9375, 335585.9375 614629.0625, 335748.5313 614456.5, 335926.5625 614171.0625, 335942.0 614094.625, 335955.6563 613",4165,경기도,포천시,관인면,관인면 냉정리,337401,616438,한탄강,경기도 포천시 관인면 냉정리 3551
328564,20180701,경기포천 용담가족낚시터,372.02000,935.16000,2077.53000,2416.59000,3116.52000,2355.24000,427.05000,673.80000,1173.12000,1316.15000,1961.76000,1493.64000,2057,경기포천 328564블록,336471,616376,335226,614959,337727,617821,41650400,3127040000000.00000,11101,oracle.sql.STRUCT@737da6f9,(BLOB),"POLYGON ((337492.1563 617581.25, 337441.5 617649.0, 337371.3125 617708.4375, 337283.8125 617763.9375, 337222.5625 617785.25, 337069.4375 617817.3125, 336971.6563 617820.1875, 336935.0625 617808.625, 336783.2188 617640.8125, 336713.3125 617594.125, 336665",4165,경기도,포천시,관인면,관인면 냉정리,337401,616438,한탄강,경기도 포천시 관인면 냉정리 3551
30328,20180601,경기포천 관인우체국,44.55000,232.44000,483.08000,504.46000,576.72000,437.28000,46.67000,112.32000,232.44000,226.49000,392.28000,298.80000,2075,경기포천 포천관인우체국,334669,616630,334283,615738,334969,617600,41650400,3127040000000.00000,11101,oracle.sql.STRUCT@e557612,(BLOB),"MULTIPOLYGON (((334667.0313 617480.0, 334669.4375 617477.4375, 334694.3125 617443.5625, 334639.625 617418.1875, 334603.0625 617441.0, 334556.625 617415.625, 334587.2813 617387.8125, 334617.625 617344.5625, 334505.0 617284.125, 334415.3125 617256.8125, 33",4165,경기도,포천시,관인면,관인면 냉정리,337401,616438,한탄강,경기도 포천시 관인면 냉정리 3551
30328,20180801,경기포천 관인우체국,90.97000,230.04000,464.10000,482.68000,591.84000,439.68000,98.80000,137.52000,255.19000,272.25000,356.76000,274.08000,2075,경기포천 포천관인우체국,334669,616630,334283,615738,334969,617600,41650400,3127040000000.00000,11101,oracle.sql.STRUCT@e557612,(BLOB),"MULTIPOLYGON (((334667.0313 617480.0, 334669.4375 617477.4375, 334694.3125 617443.5625, 334639.625 617418.1875, 334603.0625 617441.0, 334556.625 617415.625, 334587.2813 617387.8125, 334617.625 617344.5625, 334505.0 617284.125, 334415.3125 617256.8125, 33",4165,경기도,포천시,관인면,관인면 냉정리,337401,616438,한탄강,경기도 포천시 관인면 냉정리 3551
30328,20180701,경기포천 관인우체국,91.30000,256.56000,487.89000,528.00000,644.76000,485.28000,92.82000,142.44000,267.93000,281.38000,410.40000,323.76000,2075,경기포천 포천관인우체국,334669,616630,334283,615738,334969,617600,41650400,3127040000000.00000,11101,oracle.sql.STRUCT@e557612,(BLOB),"MULTIPOLYGON (((334667.0313 617480.0, 334669.4375 617477.4375, 334694.3125 617443.5625, 334639.625 617418.1875, 334603.0625 617441.0, 334556.625 617415.625, 334587.2813 617387.8125, 334617.625 617344.5625, 334505.0 617284.125, 334415.3125 617256.8125, 33",4165,경기도,포천시,관인면,관인면 냉정리,337401,616438,한탄강,경기도 포천시 관인면 냉정리 3551
400658,19900101,,,,,,,,,,,,,,1899,경기포천 아침햇살수련원,337143,618912,336177,617581,338625,620235,41650400,3127040000000.00000,11101,oracle.sql.STRUCT@419c0200,(BLOB),"POLYGON ((336731.0 620123.5625, 336666.9688 620042.125, 336645.875 620027.1875, 336619.2813 620022.0625, 336606.1563 619934.9375, 336585.375 619909.4375, 336524.6875 619871.625, 336464.0625 619765.8125, 336432.7813 619668.5625, 336348.3125 619506.3125, 3",4165,경기도,포천시,관인면,관인면 냉정리,337401,616438,한탄강,경기도 포천시 관인면 냉정리 3551
233894,20170801,경기포천 관인면,5.61000,44.04000,52.39000,42.35000,56.16000,37.68000,6.76000,13.44000,22.62000,30.14000,34.68000,27.60000,2080,경기포천 관인면주민센터,334587,617469,334507,617415,334670,617524,41650400,3127040000000.00000,11101,oracle.sql.STRUCT@3d726540,(BLOB),"POLYGON ((334628.375 617523.6875, 334589.1563 617497.1875, 334554.125 617493.375, 334528.8438 617480.75, 334507.4063 617456.875, 334556.625 617415.625, 334603.0625 617441.0, 334669.4375 617477.4375, 334667.0313 617480.0, 334628.375 617523.6875))",4165,경기도,포천시,관인면,관인면 냉정리,337401,616438,한탄강,경기도 포천시 관인면 냉정리 3551
32074,19900101,,,,,,,,,,,,,,2084,경기포천 32074블록,334652,617446,334603,617418,334695,617478,41650400,3127040000000.00000,11101,oracle.sql.STRUCT@1ccf90e5,(BLOB),"POLYGON ((334669.4375 617477.4375, 334603.0625 617441.0, 334639.625 617418.1875, 334694.3125 617443.5625, 334669.4375 617477.4375))",4165,경기도,포천시,관인면,관인면 냉정리,337401,616438,한탄강,경기도 포천시 관인면 냉정리 3551
136,19900101,,,,,,,,,,,,,,2086,경기포천 동영빌라,334792,617378,334743,617322,334845,617433,41650400,3127040000000.00000,11101,oracle.sql.STRUCT@bec693c,(BLOB),"POLYGON ((334844.8438 617359.6875, 334814.2188 617432.9375, 334743.4375 617399.5625, 334762.9063 617322.9375, 334844.8438 617359.6875))",4165,경기도,포천시,관인면,관인면 냉정리,337401,616438,한탄강,경기도 포천시 관인면 냉정리 3551
122676,20180601,경기포천 122676블록,275.00000,809.88000,1799.98000,1949.97000,2705.04000,2341.08000,291.33000,659.76000,1327.43000,1395.02000,2322.48000,1815.12000,1964,경기포천 122676블록,335532,617718,334855,615853,336378,619227,41650400,3127040000000.00000,11101,oracle.sql.STRUCT@f618176,(BLOB),"POLYGON ((335684.4063 619007.875, 335624.7813 618949.75, 335550.75 618915.3125, 335507.6563 618885.3125, 335491.5938 618859.25, 335489.1875 618822.625, 335446.125 618844.125, 335338.3125 618869.5625, 335239.4688 618801.875, 335216.6563 618774.875, 335206",4165,경기도,포천시,관인면,관인면 냉정리,337401,616438,한탄강,경기도 포천시 관인면 냉정리 3551
